,PitcherId,PitcherTeam,Pitcher,Inning,Date,d_i,チーム,選手,背番号#,pos1,pos2,num_pit,num_fb,strike_fb,swg_fb,miss_fb,spdP_min,SpinRate_min,pitY_min,pitX_min,SpinAxis_min,relX_min,relY_min,relZ_min,spdP_ave,SpinRate_ave,pitY_ave,pitX_ave,SpinAxis_ave,relX_ave,relY_ave,relZ_ave,spdP_max,SpinRate_max,pitY_max,pitX_max,SpinAxis_max,relX_max,relY_max,relZ_max,spdP_std,SpinRate_std,pitY_std,pitX_std,SpinAxis_std,relX_std,relY_std,relZ_std,spdP_com,SpinRate_com,pitY_com,pitX_com,SpinAxis_com,relX_com,relY_com,relZ_com,rate_fb,strike%_fb,miss%_fb
1250,53555155,MIN_GIA,"Yamada, Ryusei",1,1,,巨人,山田　龍聖,#28,投手,先発,36,31,20.0,17.0,3.0,138.0,1952.0,43.0,-36.0,138.0,0.0,1.0,1.0,142.0,2072.0,52.0,-26.0,151.0,0.0,1.0,1.0,146.0,2166.0,57.0,-19.0,159.0,0.0,1.0,1.0,1.0,67.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0321060210391526,1.0397102767859854,1.0782637300641256,0.6671398579723102,1.0598168941604986,0.85657660828405,1.0249606117532009,1.0373260728494162,0.8611111111111112,0.6451612903225806,0.17647058823529413
1251,53555155,MIN_GIA,"Yamada, Ryusei",2,1,,巨人,山田　龍聖,#28,投手,先発,31,30,16.0,14.0,1.0,133.0,1949.0,48.0,-37.0,141.0,0.0,1.0,1.0,140.0,2095.0,54.0,-30.0,148.0,0.0,1.0,1.0,144.0,2208.0,61.0,-19.0,161.0,0.0,1.0,1.0,2.0,61.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0221183497093047,1.0598522758644588,1.1404426828602698,0.6714016768705189,1.0728950356415978,0.8246855701851427,1.009902344646191,1.0394431299138551,0.967741935483871,0.5333333333333333,0.07142857142857142
1252,53555155,MIN_GIA,"Yamada, Ryusei",all,all,,巨人,山田　龍聖,#28,投手,先発,67,61,36.0,31.0,4.0,133.0,1949.0,43.0,-37.0,138.0,0.0,1.0,1.0,141.0,2084.0,53.0,-28.0,150.0,0.0,1.0,1.0,146.0,2208.0,61.0,-19.0,161.0,0.0,1.0,1.0,2.0,65.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0321060210391526,1.0598522758644588,1.1404426828602698,0.6671398579723102,1.0728950356415978,0.8246855701851427,1.0249606117532009,1.0394431299138551,0.9104477611940298,0.5901639344262295,0.12903225806451613
1253,73775155,MIN_GIA,"Andriese, Matt",1,2,,巨人,アンドリース,#29,投手,先発,24,12,9.0,5.0,1.0,142.0,2267.0,37.0,27.0,209.0,0.0,1.0,1.0,144.0,2357.0,45.0,33.0,218.0,0.0,1.0,1.0,147.0,2479.0,52.0,39.0,229.0,0.0,1.0,1.0,1.0,60.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0219356099835772,1.0395982681029983,1.1604275376821136,1.3472755424160061,1.0649515146322672,1.1183445009815969,1.0116880880268857,1.0373134572034044,0.5,0.75,0.2
1254,73775155,MIN_GIA,"Andriese, Matt",2,2,,巨人,アンドリース,#29,投手,先発,19,11,8.0,7.0,3.0,141.0,2293.0,35.0,23.0,208.0,0.0,1.0,1.0,143.0,2351.0,42.0,28.0,215.0,0.0,1.0,1.0,145.0,2408.0,47.0,35.0,220.0,0.0,1.0,1.0,1.0,37.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0078101854112327,1.0095510923335136,1.0592897746808314,1.200703212889302,1.0263849446971782,1.0722000877777969,1.0231330632694968,1.0448407319741966,0.5789473684210527,0.7272727272727273,0.42857142857142855
1255,73775155,MIN_GIA,"Andriese, Matt",3,2,,巨人,アンドリース,#29,投手,先発,34,19,11.0,9.0,3.0,142.0,2305.0,35.0,21.0,208.0,0.0,1.0,1.0,144.0,2404.0,44.0,28.0,214.0,0.0,1.0,1.0,146.0,2502.0,51.0,40.0,224.0,0.0,1.0,1.0,1.0,49.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0138948447221885,1.0489993028383915,1.1422020915724493,1.3685010563948925,1.0427202123460093,1.0246795662571728,1.0184834880425169,1.0952030121472687,0.5588235294117647,0.5789473684210527,0.3333333333333333
1256,73775155,MIN_GIA,"Andriese, Matt",4,1,,巨人,アンドリース,#29,投手,先発,18,8,5.0,2.0,2.0,140.0,2339.0,43.0,21.0,204.0,0.0,1.0,1.0,144.0,2427.0,49.0,29.0,212.0,0.0,1.0,1.0,146.0,2511.0,52.0,37.0,221.0,0.0,1.0,1.0,1.0,57.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0156003737345551,1.053026916732258,1.1764554534636293,1.2742252832965617,1.0286919352750052,1.0060736046953793,1.0130575426865243,1.0322866812434577,0.4444444444444444,0.625,1.0
1257,73775155,MIN_GIA,"Andriese, Matt",all,all,,巨人,アンドリース,#29,投手,先発,95,50,33.0,23.0,9.0,140.0,2267.0,35.0,21.0,204.0,0.0,1.0,1.0,144.0,2385.0,44.0,29.0,215.0,0.0,1.0,1.0,147.0,2511.0,52.0,40.0,229.0,0.0,1.0,1.0,1.0,57.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0219356099835772,1.053026916732258,1.1764554534636293,1.3685010563948925,1.0649515146322672,1.1183445009815969,1.0231330632694968,1.0952030121472687,0.5263157894736842,0.66,0.391304347826087
1258,51555137,MIN_GIA,"Kagiya, Yohei",7,1,,巨人,鍵谷　陽平,#30,投手,中継ぎ,12,6,4.0,2.0,0.0,140.0,2037.0,39.0,21.0,210.0,0.0,1.0,1.0,142.0,2088.0,43.0,32.0,218.0,0.0,1.0,1.0,143.0,2128.0,47.0,39.0,224.0,0.0,1.0,1.0,1.0,34.0,3.0,7.0,6.0,0.0,0.0,0.0,0.9983414815257502,0.9830024807460335,1.092550263453223,1.3151973335153757,1.0383151996867563,1.2330208023099094,1.0004767089138258,1.0352491946503655,0.5,0.6666666666666666,0.0
1259,51555137,MIN_GIA,"Kagiya, Yohei",8,3,,巨人,鍵谷　陽平,#30,投手,中継ぎ,66,31,22.0,20.0,4.0,138.0,2010.0,24.0,17.0,200.0,0.0,1.0,1.0,144.0,2179.0,43.0,29.0,216.0,0.0,1.0,1.0,147.0,2250.0,54.0,44.0,242.0,0.0,1.0,1.0,1.0,55.0,5.0,6.0,8.0,0.0,0.0,0.0,1.0222236836768337,1.0393665989234875,1.2582182173078063,1.4668696623197182,1.119617589750789,1.2470211960444821,1.0416708687489167,1.0520278581754665,0.4696969696969697,0.7096774193548387,0.2
