,チーム,選手,背番号#,pos1,pos2,pt,pt_rate,PitcherId,PitcherThrows,PitcherTeam,Pitcher,num_all,num,strike,swg,miss,spdP_ave,SpinRate_ave,pitY_ave,pitX_ave,SpinAxis_ave,relX_ave,relY_ave,relZ_ave,spdP_max,SpinRate_max,pitY_max,pitX_max,SpinAxis_max,relX_max,relY_max,relZ_max,spdP_std,SpinRate_std,pitY_std,pitX_std,SpinAxis_std,relX_std,relY_std,relZ_std,spdP_com,SpinRate_com,pitY_com,pitX_com,SpinAxis_com,relX_com,relY_com,relZ_com,str%,miss%
0,オリックス,山﨑　福也,#11,投手,先発,Fastball,0.44984802431610943,21825130,Left,ORI_BUF,"Yamasaki, Sachiya",329,148,97,67,4.0,142.31618043809524,2075.099885442177,46.8425486802721,-38.01172152244898,138.9778431292517,-0.5034921324081633,1.8187224204081633,1.661250921632653,147.6642734,2309.426984,55.5075344,-25.7631184,152.131528,-0.4105320719999999,1.88538612,1.731757776,2.3004133646880924,92.3626295689348,4.030863696003158,4.444120922014714,4.892425753067881,0.02956306225828609,0.02505511168063319,0.03192525792514415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6554054054054054,0.05970149253731343
1,オリックス,山﨑　福也,#11,投手,先発,Cutter,0.07598784194528875,21825130,Left,ORI_BUF,"Yamasaki, Sachiya",329,25,16,14,2.0,128.94197302000003,2208.33796072,17.259093752000002,-3.562565392,173.53149992000002,-0.5474223849600001,1.7241215606400002,1.72163085696,135.6575213,2486.556245,29.1232082,9.2906088,321.661296,-0.468943944,1.817747952,1.801258272,3.507657027770466,96.57501256086552,6.748452339388152,7.534411171562962,37.51510430333858,0.03051024726457089,0.0375132838750637,0.05572147999670766,0.9060246882896584,1.0642080297977714,0.36844907542933775,0.09372281099912874,1.2486270905687666,1.0872511201748514,0.947984992813289,1.0363460658116634,0.64,0.14285714285714285
2,オリックス,山﨑　福也,#11,投手,先発,Slider,0.13677811550151975,21825130,Left,ORI_BUF,"Yamasaki, Sachiya",329,45,30,20,4.0,120.34414388181818,2440.820235204546,-17.09490311818182,32.00973751363636,301.9321456590909,-0.5068014894545455,1.7609950232727272,1.6293199685454547,130.10864020000002,2562.611075,16.6967154,48.6264204,326.26055,-0.441466224,1.812724848,1.786862568,3.9922704398991797,86.70060558570658,7.837011629042848,9.001030179254213,19.29868639700134,0.03194368109525636,0.029132660122785554,0.06981662335801221,0.8456111140093837,1.1762422870957072,-0.3649439153036819,-0.8421017578678207,2.1725200136995144,1.006572807862069,0.9682593690561747,0.980778970430417,0.6666666666666666,0.2
3,オリックス,山﨑　福也,#11,投手,先発,Curveball,0.07598784194528875,21825130,Left,ORI_BUF,"Yamasaki, Sachiya",329,25,13,7,2.0,108.222897188,2393.50650872,-26.973012855999997,42.305758415999996,306.92114888,-0.48122628671999995,1.74194248512,1.62960442176,118.779038,2597.564497,-7.776210000000001,51.0220214,322.015598,-0.337837272,1.804056336,1.79487576,7.803303979217444,108.85895229445545,9.152003235433531,4.525727685091949,9.294262833447682,0.052222166348237606,0.03257616228362185,0.0897853090159492,0.7604398660423215,1.153441588769581,-0.5758229134820705,-1.1129661252257423,2.208417845386751,0.955777172561431,0.9577835878490286,0.9809501987565182,0.52,0.2857142857142857
4,オリックス,山﨑　福也,#11,投手,先発,Splitter,0.060790273556231005,21825130,Left,ORI_BUF,"Yamasaki, Sachiya",329,20,12,12,5.0,130.25442087000002,1047.21297325,0.27120977,-24.409239980000002,82.3040122,-0.5207378460000001,1.7846064384000002,1.6488271823999998,133.2873759,1305.566517,10.9617002,-8.212302600000001,109.212747,-0.458614272,1.830893976,1.722915528,2.1783064916066084,129.24821477990466,4.841960202801971,8.388216539386471,13.80651487058233,0.02157463819341522,0.025680685699232587,0.03175876312990786,0.9152467447414255,0.5046566580224414,0.005789816686772659,0.642150342114455,0.5922095950464269,1.0342522007431416,0.9812417872978623,0.9925214553256992,0.6,0.4166666666666667
5,オリックス,山﨑　福也,#11,投手,先発,ChangeUp,0.2006079027355623,21825130,Left,ORI_BUF,"Yamasaki, Sachiya",329,66,49,37,10.0,123.04719825151516,1851.2970584242423,32.25637055151515,-37.67281086969697,128.2960525606061,-0.5458806363636364,1.717523338909091,1.7490628421818182,129.4452397,3522.721259,47.1878152,-3.6093908,162.982012,-0.480361752,1.826215296,1.868387424,2.6956662211838007,302.2351400093549,9.17837841860001,12.79971467549944,12.082866968304398,0.030543570002161746,0.031637352922107814,0.06606384499327754,0.8646044172400923,0.8921484076077403,0.6886126280549723,0.991084048836045,0.923140334256653,1.084189009573461,0.9443570495620981,1.052858914571957,0.7424242424242424,0.2702702702702703
6,オリックス,山下　舜平大,#12,投手,先発,Fastball,0.6868131868131868,43345153,Right,MIN_BUF,"Yamashita, Shunpeita",182,125,90,69,15.0,148.2572159208,2378.86836896,51.1196852128,25.290798897600002,207.443959048,0.6078739541760002,1.874655355584,1.861149131136,152.8505503,2584.919645,62.1523268,37.1964204,223.790839,0.730047816,1.916875008,2.02978512,1.489605401735733,61.43560490886371,3.4182162170238235,4.919105318692993,5.052119472649239,0.04399379853950235,0.017040820235835984,0.07211011306910596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.21739130434782608
7,オリックス,山下　舜平大,#12,投手,先発,Slider,0.01098901098901099,43345153,Right,MIN_BUF,"Yamashita, Shunpeita",182,2,1,1,0.0,127.9209239,2574.435445,-23.5718604,-17.120412800000004,32.330625,0.674211504,1.850148192,1.6326322439999998,128.5627182,2619.005739,-17.134205,-11.836501600000002,34.111967,0.694947048,1.856058264,1.635885984,0.907634203313748,63.03191425375633,9.10421957656439,7.472578881415096,2.5191980156248146,0.02932448754798405,0.008358103977001544,0.004601483236435841,0.8628310136913417,1.0822101292327908,-0.46111121971654423,-0.6769423484532417,0.15585233307526244,1.1091304362825074,0.986927109822613,0.8772173151989604,0.5,0.0
8,オリックス,山下　舜平大,#12,投手,先発,Curveball,0.2087912087912088,43345153,Right,MIN_BUF,"Yamashita, Shunpeita",182,38,22,12,8.0,121.61137838684208,2768.7897149210526,-47.94858797894737,-21.859649742105262,23.010761131578942,0.6231470766315789,1.8549113336842102,1.769993091157895,126.1714657,2916.401419,-37.2709186,-13.52931,33.161251,0.6838218480000001,1.891427256,1.924958304,1.977441405686944,64.10989531368884,5.723427711177671,4.502948316797724,5.438291928614253,0.030701024605797107,0.018045128795318634,0.08375049015547509,0.8202729130689173,1.1639104336535944,-0.9379671995112636,-0.8643321166173069,0.11092519269869185,1.0251254760146484,0.9894679190812441,0.9510216357984889,0.5789473684210527,0.6666666666666666
9,オリックス,山下　舜平大,#12,投手,先発,Splitter,0.06043956043956044,43345153,Right,MIN_BUF,"Yamashita, Shunpeita",182,11,4,4,2.0,135.01648516363636,1127.0209140909092,25.383058199999997,24.833002727272728,228.3035099090909,0.6361031912727273,1.8564750087272728,1.7584352574545457,139.1868506,1429.442559,38.3567178,34.7667072,258.70052,0.7041642,1.885227624,1.848938136,2.0844383922967156,167.4652794871373,8.982925464779132,7.063124169783897,17.530943174210716,0.02903860719989739,0.019148354027051485,0.07493641090929688,0.9106908174760483,0.47376346198744196,0.49654175479242313,0.9818987066331575,1.1005551135681144,1.0464392937101459,0.9903020324228804,0.9448115833583092,0.36363636363636365,0.5
